Date,Holiday,Countries,Type,Description
12-26,St. Stephen's Day · Boxing Day · Kwanzaa (start),"Germany · Austria · Switzerland · UK · Australia · Canada · New Zealand · USA (Kwanzaa)",Religious/Cultural Holiday,St. Stephen's Day: feast of the first Christian martyr; public holiday in many European countries · Boxing Day: traditionally gifts to servants; now a major shopping and sports day in Commonwealth countries · Kwanzaa begins: seven-day African-American cultural celebration of African heritage and values (December 26 – January 1)
12-28,Holy Innocents' Day (Día de los Santos Inocentes),"Spain · Latin America",Religious/Cultural Holiday,Catholic commemoration of the children massacred by King Herod; in Spain and Latin America also celebrated as a prank day similar to April Fools' Day
12-31,New Year's Eve · Omisoka,"Germany · Austria · Switzerland · Japan · worldwide",Cultural Holiday,New Year's Eve celebrated worldwide with fireworks and parties · Japan (Omisoka): temple bells ring 108 times (Joya no Kane) to cleanse the 108 earthly desires according to Buddhist belief and welcome the new year
01-01,Independence Day,Haiti,National Holiday,Anniversary of Haiti's declaration of independence from France on January 1 1804 – the first Black republic in the world
01-01,Independence Day,Sudan,National Holiday,Anniversary of Sudan's independence from Anglo-Egyptian condominium rule on January 1 1956
01-04,Independence Day,Myanmar (Burma),National Holiday,Anniversary of Myanmar's independence from British colonial rule on January 4 1948
01-23,National Day,Pakistan,National Holiday,Anniversary of the Lahore Resolution of 1940 in which Muslim leaders called for a separate Muslim state
variabel (Jan),Mahayana New Year,China · Vietnam · Korea · Japan,Religious Holiday,Buddhist New Year celebration in Mahayana Buddhist communities; timing varies by country and tradition
01-28,St. Thomas Aquinas Day,Worldwide (Catholic universities),Religious Holiday,Feast of the patron saint of students and scholars; widely observed in Catholic educational institutions
02-04,Independence Day,Sri Lanka,National Holiday,Anniversary of Ceylon's (now Sri Lanka) independence from Great Britain on February 4 1948
02-07,Independence Day,Grenada,National Holiday,Anniversary of Grenada's independence from Great Britain on February 7 1974
02-18,Independence Day,Gambia,National Holiday,Anniversary of Gambia's independence from Great Britain on February 18 1965
02-22,Independence Day,Saint Lucia,National Holiday,Anniversary of Saint Lucia's independence from Great Britain on February 22 1979
02-23,National Day,Brunei,National Holiday,Anniversary of Brunei's independence from Great Britain on February 23 1984
02-23,Republic Day,Guyana,National Holiday,Anniversary of Guyana becoming a republic on February 23 1970
02-25,People Power Revolution Day,Philippines,National Holiday,Anniversary of the peaceful 1986 revolution that ousted dictator Ferdinand Marcos and restored democracy
02-27,Independence Day,Dominican Republic,National Holiday,Anniversary of the Dominican Republic's independence from Haiti on February 27 1844
03-06,Independence Day (Kwame Nkrumah Memorial Day),Ghana,National Holiday,Anniversary of Ghana's independence from Great Britain on March 6 1957 – first sub-Saharan African country to gain independence
03-12,Independence Day,Mauritius,National Holiday,Anniversary of Mauritius's independence from Great Britain on March 12 1968
03-20,Independence Day,Tunisia,National Holiday,Anniversary of Tunisia's independence from France on March 20 1956
03-21,Independence Day,Namibia,National Holiday,Anniversary of Namibia's independence from South African administration on March 21 1990
03-22,Arab League Day,Arab League member states,Political Holiday,Anniversary of the founding of the Arab League on March 22 1945 in Cairo
03-23,Pakistan Day,Pakistan,National Holiday,Anniversary of the Lahore Resolution of 1940 and the adoption of the first constitution in 1956; parade in Islamabad
03-26,Independence Day,Bangladesh,National Holiday,Anniversary of Bangladesh's proclamation of independence from Pakistan on March 26 1971
03-29,Youth Day,Taiwan,National Holiday,Commemorates the March 29 1911 uprising against the Qing dynasty which marked the beginning of the revolution
variabel (Mar/Apr),Sinhala and Tamil New Year,Sri Lanka,Cultural/Religious Holiday,Traditional New Year of the Sinhalese and Tamil peoples at the end of the harvest season; celebrated on April 13–14
04-02,Malvinas Day,Argentina,National Holiday,Commemoration of the Argentine landing on the Falkland Islands (Islas Malvinas) in 1982; day of remembrance for fallen soldiers
04-04,Independence Day,Senegal,National Holiday,Anniversary of Senegal's independence from France on April 4 1960
04-12,Cosmonautics Day,Russia,National Holiday,Anniversary of Yuri Gagarin's first human spaceflight on April 12 1961; not a public holiday but widely commemorated
04-16,José de Diego Day,Puerto Rico,Cultural Holiday,Birthday of José de Diego (1866) – poet and advocate for Puerto Rican autonomy
04-19,King Mswati III Birthday,Eswatini (Swaziland),National Holiday,Birthday of King Mswati III celebrated as a national holiday
04-26,Union Day,Tanzania,National Holiday,Anniversary of the union of Tanganyika and Zanzibar forming the United Republic of Tanzania on April 26 1964
04-30,King's Day (Koningsdag),Netherlands,National Holiday,Birthday of King Willem-Alexander; celebrated with street markets (rommelmarkt) and orange clothing across the country
variabel (Apr/May),Theravada New Year (Songkran · Thingyan · Pi Mai Lao),"Thailand · Myanmar · Laos",Cultural/Religious Holiday,Buddhist New Year celebrated across mainland Southeast Asia with water festivals; Songkran (Thailand) · Thingyan (Myanmar) · Pi Mai Lao (Laos); symbolizes purification and renewal
05-01,Workers' Day,Nigeria · South Africa · Kenya · Zimbabwe · Tanzania · Ghana,National Holiday,International Workers' Day; public holiday across most of Africa in recognition of labor rights
05-02,Eid Milad un-Nabi (in non-Muslim observance),Nigeria,Cultural Holiday,Nationwide observance of the Prophet's birthday; celebrated in Muslim-majority northern states with prayers
05-11,Heiliger Pankratius (Ice Saints),Germany · Austria · Switzerland,Cultural Tradition,First of the three Ice Saints (Pankratius, Servatius, Bonifatius – May 11–13); traditional belief that frost risk ends after these days; no public holiday
05-14,Kamuzu Day,Malawi,National Holiday,Birthday of Hastings Kamuzu Banda – founding president of Malawi
05-22,National Day,Yemen,National Holiday,Anniversary of the unification of North and South Yemen on May 22 1990
05-24,Commonwealth Day (observed),Commonwealth nations,Political Holiday,Annual celebration of the Commonwealth of Nations; observed on the second Monday of March in many Commonwealth countries; Queen/King's speech
05-24,Bulgarian Education Day (Ден на Кирил и Методий),Bulgaria,Cultural Holiday,Day of Slavic Culture and Literacy honoring Saints Cyril and Methodius – creators of the Cyrillic alphabet
05-26,Independence Day,Georgia,National Holiday,Anniversary of Georgia's declaration of independence from Russia on May 26 1918
05-28,Republic Day,Azerbaijan,National Holiday,Anniversary of the establishment of the Azerbaijan Democratic Republic on May 28 1918
05-31,Republic Day,South Africa,National Holiday,Anniversary of South Africa becoming a republic on May 31 1961 (no longer a public holiday; replaced by Freedom Day)
06-02,Coronation Day (variable),United Kingdom,Cultural Holiday,Official birthday celebration of the reigning monarch; celebrated on the second Saturday in June with Trooping the Colour parade
06-04,Emancipation Day,Tonga,National Holiday,Anniversary of Tonga's emancipation from foreign debt and independence maintenance
06-10,Portugal Day (Dia de Camões),Portugal,National Holiday,Death anniversary of the national poet Luís de Camões; also commemorates Portuguese communities worldwide
06-11,King's Birthday,Thailand,National Holiday,Birthday of King Vajiralongkorn (Rama X); public holiday
06-12,Araw ng Kalayaan (Independence Day),Philippines,National Holiday,Anniversary of the proclamation of Philippine independence from Spain on June 12 1898
06-16,Youth Day,South Africa,National Holiday,Anniversary of the Soweto Uprising of June 16 1976 when students protested against Apartheid education policies
06-18,Autochthony Day,Gabon,National Holiday,Celebration of Gabonese indigenous heritage
06-23,National Day,Luxembourg,National Holiday,Official birthday celebration of Grand Duke Henri; celebrated with fireworks the evening before
07-01,Emancipation Day,Ghana,National Holiday,Anniversary of the end of the Atlantic slave trade
07-01,Doctor's Day,Cuba · Brazil · India,Cultural Holiday,Day honoring physicians and medical professionals; date varies by country
07-05,Independence Day,Cape Verde,National Holiday,Anniversary of Cape Verde's independence from Portugal on July 5 1975
07-05,Independence Day,Algeria,National Holiday,Anniversary of Algeria's independence from France on July 5 1962
07-06,Independence Day,Comoros · Malawi,National Holiday,Comoros: independence from France on July 6 1975 · Malawi: independence from Great Britain on July 6 1964
07-10,Independence Day,Bahamas,National Holiday,Anniversary of the Bahamas' independence from Great Britain on July 10 1973
07-11,National Day,Mongolia,National Holiday,Naadam Festival – celebration of the three traditional Mongolian sports: wrestling, archery and horse racing
07-12,Independence Day,"São Tomé and Príncipe",National Holiday,Anniversary of independence from Portugal on July 12 1975
07-12,National Day (Orangemen's Day),Northern Ireland,Cultural Holiday,Commemoration of the Battle of the Boyne in 1690 when King William III defeated King James II; Orange Order parades
07-13,Statehood Day,Montenegro,National Holiday,Anniversary of Montenegro's recognition as an independent principality at the Congress of Berlin in 1878
07-26,Independence Day,Liberia,National Holiday,Anniversary of Liberia's declaration of independence on July 26 1847 – oldest republic in Africa
07-26,Revolution Day,Cuba,National Holiday,Anniversary of the attack on the Moncada Barracks by Fidel Castro's rebels on July 26 1953 – beginning of the Cuban Revolution
07-28,Independence Day,Peru,National Holiday,Anniversary of Peru's declaration of independence from Spain on July 28 1821
07-30,Emancipation Day,Trinidad and Tobago,National Holiday,Anniversary of the abolition of slavery in the British Caribbean on August 1 1838
08-01,Emancipation Day,Jamaica · Caribbean (various),National Holiday,Anniversary of the abolition of slavery in the British colonies on August 1 1834 (full emancipation 1838)
08-02,Republic of North Macedonia Day,North Macedonia,National Holiday,Ilinden Day – anniversary of the 1903 Ilinden Uprising against Ottoman rule
08-03,Independence Day,Niger,National Holiday,Anniversary of Niger's independence from France on August 3 1960
08-05,Independence Day,Burkina Faso,National Holiday,Anniversary of Upper Volta's (now Burkina Faso) independence from France on August 5 1960
08-07,Independence Day,Ivory Coast (Côte d'Ivoire),National Holiday,Anniversary of Côte d'Ivoire's independence from France on August 7 1960
08-13,Independence Day,Central African Republic,National Holiday,Anniversary of the Central African Republic's independence from France on August 13 1960
08-15,Independence Day,Republic of the Congo,National Holiday,Anniversary of the Republic of the Congo's independence from France on August 15 1960
08-15,Independence Day,Liechtenstein,National Holiday,National Day of Liechtenstein celebrated on the Feast of the Assumption
08-17,Independence Day,Gabon,National Holiday,Anniversary of Gabon's independence from France on August 17 1960
08-19,National Day,Afghanistan,National Holiday,Anniversary of the Anglo-Afghan Treaty of 1919 granting full independence
08-20,Saint Stephen's Day,Hungary,National Holiday,Feast of Saint Stephen – first king of Hungary; foundation of the Hungarian state in the year 1000; celebrated with fireworks over the Danube
08-24,Flag Day,Kazakhstan,National Holiday,Day of the national flag of Kazakhstan
08-27,Moldovan Independence Day,Moldova,National Holiday,Anniversary of Moldova's declaration of independence from the Soviet Union on August 27 1991
08-30,Victory Day (Zafer Bayramı),Turkey,National Holiday,Anniversary of the decisive victory in the Turkish War of Independence on August 30 1922
09-01,Libyan National Day,Libya,National Holiday,Anniversary of the 1969 revolution in which Muammar Gaddafi seized power (currently disputed holiday)
09-02,National Day,Vietnam,National Holiday,Anniversary of Ho Chi Minh's proclamation of Vietnamese independence on September 2 1945
09-03,National Day,Qatar,National Holiday,Anniversary of the establishment of an independent Qatari state
09-06,Defense Forces Day,Finland,National Holiday,Anniversary of Finland's defense forces founded in 1917
09-06,Swaziland Independence Day,Eswatini (Swaziland),National Holiday,Anniversary of Swaziland's independence from Great Britain on September 6 1968
09-12,Ethiopian New Year (Enkutatash),Ethiopia,Cultural/Religious Holiday,Ethiopian New Year on the first day of the month Meskerem; families exchange flowers and celebrate the end of the rainy season
09-16,Papua New Guinea Independence Day,Papua New Guinea,National Holiday,Anniversary of Papua New Guinea's independence from Australia on September 16 1975
09-22,Independence Day,Mali,National Holiday,Anniversary of Mali's independence from France on September 22 1960
09-22,National Day,Saudi Arabia,National Holiday,Anniversary of the unification of the Kingdom of Saudi Arabia on September 22 1932
09-24,Heritage Day (Braai Day),South Africa,National Holiday,Celebration of South Africa's diverse cultural heritage; informally celebrated as Braai Day – a national barbecue
09-24,Independence Day,Guinea-Bissau,National Holiday,Anniversary of Guinea-Bissau's independence from Portugal on September 24 1973
09-30,Day of German Unity (unofficial),Germany,Cultural Tradition,Unofficial end-of-summer celebration; precursor to the official Unity Day on October 3
10-01,Independence Day,Nigeria,National Holiday,"Anniversary of Nigeria's independence from Great Britain on October 1 1960; Africa's most populous nation"
10-01,Independence Day,Cyprus,National Holiday,Anniversary of Cyprus's independence from Great Britain on October 1 1960
10-01,Independence Day,Tuvalu,National Holiday,Anniversary of Tuvalu's independence from Great Britain on October 1 1978
10-02,Independence Day,Guinea,National Holiday,Anniversary of Guinea's independence from France on October 2 1958
10-04,Independence Day,Lesotho,National Holiday,Anniversary of Lesotho's independence from Great Britain on October 4 1966
10-10,National Day,Taiwan (Republic of China),National Holiday,Anniversary of the Wuchang Uprising on October 10 1911 which led to the founding of the Republic of China; known as Double Ten Day
10-10,Independence Day,Fiji,National Holiday,Anniversary of Fiji's independence from Great Britain on October 10 1970
10-10,Independence Day,Equatorial Guinea,National Holiday,Anniversary of Equatorial Guinea's independence from Spain on October 12 1968
10-24,United Nations Day,Worldwide,International Holiday,Anniversary of the entry into force of the UN Charter on October 24 1945; not a public holiday in most countries
10-24,Independence Day,Zambia,National Holiday,Anniversary of Zambia's independence from Great Britain on October 24 1964
10-27,Independence Day,Saint Vincent and the Grenadines,National Holiday,Anniversary of independence from Great Britain on October 27 1979
10-29,Republic Day,Turkey,National Holiday,Anniversary of the proclamation of the Turkish Republic on October 29 1923
11-01,National Day,Algeria,National Holiday,Anniversary of the beginning of the Algerian War of Independence on November 1 1954
11-03,Independence Day,Dominica,National Holiday,Anniversary of Dominica's independence from Great Britain on November 3 1978
11-03,Culture Day (文化の日 · Bunka no Hi),Japan,National Holiday,Day honoring culture arts and academic endeavors; Order of Culture awards presented by the Emperor
11-03,Independence Day,Federated States of Micronesia,National Holiday,Anniversary of independence from US trusteeship on November 3 1986
11-04,National Unity Day (День народного единства),Russia,National Holiday,Anniversary of the liberation of Moscow from Polish-Lithuanian occupation in 1612; re-established as a holiday in 2005
11-11,Independence Day,Poland,National Holiday,Anniversary of Poland regaining independence on November 11 1918 after 123 years of partition
11-18,National Day,Morocco,National Holiday,Anniversary of the Throne Speech of Sultan Mohammed V on November 18 1955 which marked the return from exile and path to independence from France
11-22,Independence Day,Lebanon,National Holiday,Anniversary of Lebanon's full independence from the French Mandate on November 22 1943
11-23,Labour Thanksgiving Day (勤労感謝の日 · Kinrō Kansha no Hi),Japan,National Holiday,Day honoring labor and giving thanks for production; rooted in an ancient harvest festival
11-25,Independence Day,Suriname,National Holiday,Anniversary of Suriname's independence from the Netherlands on November 25 1975
11-28,Independence Day,Mauritania · Panama · Albania,National Holiday,"Mauritania: independence from France on November 28 1960 · Panama: independence from Spain on November 28 1821 · Albania: independence from the Ottoman Empire on November 28 1912"
11-30,Independence Day,Barbados,National Holiday,Anniversary of Barbados's independence from Great Britain on November 30 1966
11-30,St. Andrew's Day,Scotland,Cultural Holiday,Feast of Scotland's patron saint; celebrated with traditional Scottish events; public holiday in Scotland since 2007
12-02,UAE National Day,United Arab Emirates,National Holiday,Anniversary of the federation of the seven emirates on December 2 1971
12-09,Independence Day,Tanzania,National Holiday,Anniversary of Tanganyika's independence from Great Britain on December 9 1961
12-11,Independence Day,Burkina Faso,National Holiday,Anniversary of Upper Volta's independence proclamation on December 11 1958
12-13,St. Lucia Day (Feast of Saint Lucy),Malta,National Holiday,Feast of Saint Lucy; also celebrated in Sweden Norway and Finland (see December 13 entry above)
12-16,Reconciliation Day · Day of the Covenant,South Africa · historical,National/Religious Holiday,South Africa: Day of Reconciliation between population groups · historically observed by Afrikaners as Day of the Vow commemorating the Battle of Blood River in 1838
12-23,Emperor's Birthday (天皇誕生日 · Tennō Tanjōbi),Japan,National Holiday,Birthday of Emperor Naruhito born December 23 1960; celebration across Japan with public garden openings at the Imperial Palace
